BLcode,WBcode,region_code,country,year,sex,priad,secad,ter
107,"AUT","Advanced Economies","Austria",1915,"M",98.55,2.35,1.32
107,"AUT","Advanced Economies","Austria",1920,"M",99.99,3.32,9.32
107,"AUT","Advanced Economies","Austria",1925,"M",99.99,4.63,6.34
107,"AUT","Advanced Economies","Austria",1930,"M",99.99,6.46,8.71
107,"AUT","Advanced Economies","Austria",1935,"M",99.99,9.00,7.36
107,"AUT","Advanced Economies","Austria",1940,"M",99.99,12.47,3.73
107,"AUT","Advanced Economies","Austria",1945,"M",99.99,17.09,8.46
107,"AUT","Advanced Economies","Austria",1950,"M",99.99,23.06,11.90
107,"AUT","Advanced Economies","Austria",1955,"M",99.99,25.48,3.00
107,"AUT","Advanced Economies","Austria",1960,"M",90.53,52.90,12.03
107,"AUT","Advanced Economies","Austria",1965,"M",92.49,54.12,13.37
107,"AUT","Advanced Economies","Austria",1970,"M",94.16,68.92,16.43
107,"AUT","Advanced Economies","Austria",1975,"M",89.96,73.06,23.25
107,"AUT","Advanced Economies","Austria",1980,"M",86.04,68.84,26.06
107,"AUT","Advanced Economies","Austria",1985,"M",86.00,70.08,28.44
107,"AUT","Advanced Economies","Austria",1990,"M",91.00,90.00,37.51
107,"AUT","Advanced Economies","Austria",1995,"M",96.08,99.68,46.41
107,"AUT","Advanced Economies","Austria",2000,"M",99.99,98.20,55.04
107,"AUT","Advanced Economies","Austria",2005,"M",98.59,98.29,43.13
107,"AUT","Advanced Economies","Austria",2010,"M",97.24,96.04,64.15
108,"BEL","Advanced Economies","Belgium",1820,"M",65.59,0.35,0.27
108,"BEL","Advanced Economies","Belgium",1825,"M",69.46,0.44,0.52
108,"BEL","Advanced Economies","Belgium",1830,"M",73.34,0.56,0.37
108,"BEL","Advanced Economies","Belgium",1835,"M",99.99,0.71,0.38
108,"BEL","Advanced Economies","Belgium",1840,"M",99.99,0.90,0.46
108,"BEL","Advanced Economies","Belgium",1845,"M",99.99,1.15,0.49
108,"BEL","Advanced Economies","Belgium",1850,"M",99.99,1.46,0.51
108,"BEL","Advanced Economies","Belgium",1855,"M",99.99,2.09,0.59
108,"BEL","Advanced Economies","Belgium",1860,"M",99.99,2.36,0.67
108,"BEL","Advanced Economies","Belgium",1865,"M",99.99,3.28,0.67
108,"BEL","Advanced Economies","Belgium",1870,"M",99.99,3.38,0.69
108,"BEL","Advanced Economies","Belgium",1875,"M",99.99,3.75,0.82
108,"BEL","Advanced Economies","Belgium",1880,"M",45.43,4.49,1.11
108,"BEL","Advanced Economies","Belgium",1885,"M",88.52,4.49,1.27
108,"BEL","Advanced Economies","Belgium",1890,"M",65.21,4.02,1.16
108,"BEL","Advanced Economies","Belgium",1895,"M",75.00,4.01,0.96
108,"BEL","Advanced Economies","Belgium",1900,"M",74.39,3.99,0.98
108,"BEL","Advanced Economies","Belgium",1905,"M",78.01,3.85,1.10
108,"BEL","Advanced Economies","Belgium",1910,"M",77.70,3.82,1.33
108,"BEL","Advanced Economies","Belgium",1915,"M",73.35,3.04,1.46
108,"BEL","Advanced Economies","Belgium",1920,"M",99.99,4.85,1.42
108,"BEL","Advanced Economies","Belgium",1925,"M",73.38,4.27,1.35
108,"BEL","Advanced Economies","Belgium",1930,"M",91.12,3.75,1.55
108,"BEL","Advanced Economies","Belgium",1935,"M",99.99,6.00,1.53
108,"BEL","Advanced Economies","Belgium",1940,"M",89.43,5.10,2.09
108,"BEL","Advanced Economies","Belgium",1945,"M",99.99,9.14,4.72
108,"BEL","Advanced Economies","Belgium",1950,"M",92.57,30.12,2.82
108,"BEL","Advanced Economies","Belgium",1955,"M",75.53,39.72,4.14
108,"BEL","Advanced Economies","Belgium",1960,"M",99.99,63.97,13.11
108,"BEL","Advanced Economies","Belgium",1965,"M",99.99,67.96,19.49
108,"BEL","Advanced Economies","Belgium",1970,"M",94.19,74.13,21.82
108,"BEL","Advanced Economies","Belgium",1975,"M",95.58,76.84,27.10
108,"BEL","Advanced Economies","Belgium",1980,"M",96.05,78.72,29.27
108,"BEL","Advanced Economies","Belgium",1985,"M",93.05,85.08,34.31
108,"BEL","Advanced Economies","Belgium",1990,"M",95.05,86.04,40.78
108,"BEL","Advanced Economies","Belgium",1995,"M",87.32,80.48,54.01
108,"BEL","Advanced Economies","Belgium",2000,"M",97.32,99.99,55.08
108,"BEL","Advanced Economies","Belgium",2005,"M",97.67,99.99,56.12
108,"BEL","Advanced Economies","Belgium",2010,"M",99.99,95.40,61.09
50,"CAN","Advanced Economies","Canada",1820,"M",78.21,0.60,0.01
50,"CAN","Advanced Economies","Canada",1825,"M",80.24,0.75,0.01
50,"CAN","Advanced Economies","Canada",1830,"M",82.05,0.93,0.01
50,"CAN","Advanced Economies","Canada",1835,"M",83.65,1.16,0.01
50,"CAN","Advanced Economies","Canada",1840,"M",85.03,1.45,0.01
50,"CAN","Advanced Economies","Canada",1845,"M",86.23,1.81,0.01
50,"CAN","Advanced Economies","Canada",1850,"M",87.24,2.25,0.01
50,"CAN","Advanced Economies","Canada",1855,"M",87.81,2.77,0.01
50,"CAN","Advanced Economies","Canada",1860,"M",88.30,3.41,0.01
50,"CAN","Advanced Economies","Canada",1865,"M",88.83,4.23,0.01
50,"CAN","Advanced Economies","Canada",1870,"M",92.79,4.66,0.01
50,"CAN","Advanced Economies","Canada",1875,"M",95.36,4.62,0.01
50,"CAN","Advanced Economies","Canada",1880,"M",90.87,4.66,0.01
50,"CAN","Advanced Economies","Canada",1885,"M",95.57,3.71,1.84
50,"CAN","Advanced Economies","Canada",1890,"M",99.99,4.79,4.33
50,"CAN","Advanced Economies","Canada",1895,"M",99.99,6.43,5.77
50,"CAN","Advanced Economies","Canada",1900,"M",99.99,5.31,7.32
50,"CAN","Advanced Economies","Canada",1905,"M",99.99,5.19,6.71
50,"CAN","Advanced Economies","Canada",1910,"M",99.99,4.20,6.37
50,"CAN","Advanced Economies","Canada",1915,"M",99.99,5.64,6.36
50,"CAN","Advanced Economies","Canada",1920,"M",99.99,2.69,6.58
50,"CAN","Advanced Economies","Canada",1925,"M",99.99,8.16,6.03
50,"CAN","Advanced Economies","Canada",1930,"M",99.99,13.57,5.83
50,"CAN","Advanced Economies","Canada",1935,"M",99.99,16.65,6.44
50,"CAN","Advanced Economies","Canada",1940,"M",99.99,16.41,5.95
50,"CAN","Advanced Economies","Canada",1945,"M",92.33,18.42,11.22
50,"CAN","Advanced Economies","Canada",1950,"M",95.03,20.25,20.78
50,"CAN","Advanced Economies","Canada",1955,"M",98.15,26.58,6.05
50,"CAN","Advanced Economies","Canada",1960,"M",73.96,42.83,19.62
50,"CAN","Advanced Economies","Canada",1965,"M",69.00,54.38,31.86
50,"CAN","Advanced Economies","Canada",1970,"M",91.04,58.06,41.17
50,"CAN","Advanced Economies","Canada",1975,"M",89.12,80.42,43.19
50,"CAN","Advanced Economies","Canada",1980,"M",94.37,83.90,45.62
50,"CAN","Advanced Economies","Canada",1985,"M",97.00,92.00,61.78
50,"CAN","Advanced Economies","Canada",1990,"M",98.00,93.00,89.59
50,"CAN","Advanced Economies","Canada",1995,"M",93.46,95.64,84.55
50,"CAN","Advanced Economies","Canada",2000,"M",98.05,96.31,50.38
50,"CAN","Advanced Economies","Canada",2005,"M",98.42,96.94,61.75
50,"CAN","Advanced Economies","Canada",2010,"M",98.77,97.52,63.69
110,"DNK","Advanced Economies","Denmark",1820,"M",99.99,0.02,0.01
110,"DNK","Advanced Economies","Denmark",1825,"M",99.99,0.03,0.01
110,"DNK","Advanced Economies","Denmark",1830,"M",99.99,0.05,0.01
110,"DNK","Advanced Economies","Denmark",1835,"M",99.99,0.06,0.01
110,"DNK","Advanced Economies","Denmark",1840,"M",99.99,0.09,0.01
110,"DNK","Advanced Economies","Denmark",1845,"M",99.99,0.12,0.01
110,"DNK","Advanced Economies","Denmark",1850,"M",99.99,0.17,0.02
110,"DNK","Advanced Economies","Denmark",1855,"M",99.99,0.24,0.03
110,"DNK","Advanced Economies","Denmark",1860,"M",99.99,0.33,0.04
110,"DNK","Advanced Economies","Denmark",1865,"M",99.99,0.45,0.05
110,"DNK","Advanced Economies","Denmark",1870,"M",99.99,0.63,0.07
110,"DNK","Advanced Economies","Denmark",1875,"M",99.99,0.87,0.09
110,"DNK","Advanced Economies","Denmark",1880,"M",99.99,1.20,0.13
110,"DNK","Advanced Economies","Denmark",1885,"M",99.99,1.66,0.17
110,"DNK","Advanced Economies","Denmark",1890,"M",99.99,2.29,0.24
110,"DNK","Advanced Economies","Denmark",1895,"M",99.99,2.31,0.21
110,"DNK","Advanced Economies","Denmark",1900,"M",99.99,2.24,0.17
110,"DNK","Advanced Economies","Denmark",1905,"M",99.99,5.32,0.18
110,"DNK","Advanced Economies","Denmark",1910,"M",99.99,7.57,0.28
110,"DNK","Advanced Economies","Denmark",1915,"M",99.99,7.73,0.24
110,"DNK","Advanced Economies","Denmark",1920,"M",99.99,9.13,0.21
110,"DNK","Advanced Economies","Denmark",1925,"M",99.99,10.64,1.42
110,"DNK","Advanced Economies","Denmark",1930,"M",99.99,9.81,1.31
110,"DNK","Advanced Economies","Denmark",1935,"M",99.99,11.52,1.49
110,"DNK","Advanced Economies","Denmark",1940,"M",99.99,12.15,1.41
110,"DNK","Advanced Economies","Denmark",1945,"M",99.99,23.97,3.82
110,"DNK","Advanced Economies","Denmark",1950,"M",99.99,36.88,5.13
110,"DNK","Advanced Economies","Denmark",1955,"M",99.99,35.29,4.70
110,"DNK","Advanced Economies","Denmark",1960,"M",99.99,66.90,14.08
110,"DNK","Advanced Economies","Denmark",1965,"M",96.11,86.11,17.34
110,"DNK","Advanced Economies","Denmark",1970,"M",95.05,68.49,22.55
110,"DNK","Advanced Economies","Denmark",1975,"M",99.99,64.03,31.94
110,"DNK","Advanced Economies","Denmark",1980,"M",96.95,82.81,28.60
110,"DNK","Advanced Economies","Denmark",1985,"M",98.00,82.05,28.72
110,"DNK","Advanced Economies","Denmark",1990,"M",96.00,86.05,34.14
110,"DNK","Advanced Economies","Denmark",1995,"M",99.99,95.77,39.18
110,"DNK","Advanced Economies","Denmark",2000,"M",99.99,99.99,48.24
110,"DNK","Advanced Economies","Denmark",2005,"M",99.00,99.99,67.31
110,"DNK","Advanced Economies","Denmark",2010,"M",99.99,99.99,61.38
111,"FIN","Advanced Economies","Finland",1820,"M",1.19,0.01,0.19
111,"FIN","Advanced Economies","Finland",1825,"M",1.46,0.01,0.23
111,"FIN","Advanced Economies","Finland",1830,"M",1.79,0.01,0.29
111,"FIN","Advanced Economies","Finland",1835,"M",2.19,0.01,0.30
111,"FIN","Advanced Economies","Finland",1840,"M",2.68,0.01,0.27
111,"FIN","Advanced Economies","Finland",1845,"M",3.22,0.01,0.25
111,"FIN","Advanced Economies","Finland",1850,"M",3.94,0.01,0.27
111,"FIN","Advanced Economies","Finland",1855,"M",4.83,0.01,0.20
111,"FIN","Advanced Economies","Finland",1860,"M",5.89,0.01,0.22
111,"FIN","Advanced Economies","Finland",1865,"M",7.18,0.01,0.23
111,"FIN","Advanced Economies","Finland",1870,"M",8.71,0.02,0.36
111,"FIN","Advanced Economies","Finland",1875,"M",10.55,0.03,0.30
111,"FIN","Advanced Economies","Finland",1880,"M",14.43,0.05,0.34
111,"FIN","Advanced Economies","Finland",1885,"M",15.01,0.08,0.74
111,"FIN","Advanced Economies","Finland",1890,"M",29.77,0.12,0.78
111,"FIN","Advanced Economies","Finland",1895,"M",43.74,0.18,0.78
111,"FIN","Advanced Economies","Finland",1900,"M",55.17,0.27,0.90
111,"FIN","Advanced Economies","Finland",1905,"M",63.07,0.42,0.73
111,"FIN","Advanced Economies","Finland",1910,"M",78.85,0.64,0.90
111,"FIN","Advanced Economies","Finland",1915,"M",99.99,0.97,1.07
111,"FIN","Advanced Economies","Finland",1920,"M",99.99,1.48,0.58
111,"FIN","Advanced Economies","Finland",1925,"M",99.99,2.40,0.83
111,"FIN","Advanced Economies","Finland",1930,"M",99.99,2.95,1.38
111,"FIN","Advanced Economies","Finland",1935,"M",99.99,4.49,1.57
111,"FIN","Advanced Economies","Finland",1940,"M",99.99,6.78,1.40
111,"FIN","Advanced Economies","Finland",1945,"M",99.99,10.12,2.29
111,"FIN","Advanced Economies","Finland",1950,"M",99.99,14.83,2.42
111,"FIN","Advanced Economies","Finland",1955,"M",99.99,19.58,2.52
111,"FIN","Advanced Economies","Finland",1960,"M",98.92,44.80,7.80
111,"FIN","Advanced Economies","Finland",1965,"M",84.31,47.55,11.00
111,"FIN","Advanced Economies","Finland",1970,"M",99.99,63.91,13.30
111,"FIN","Advanced Economies","Finland",1975,"M",99.99,77.53,35.27
111,"FIN","Advanced Economies","Finland",1980,"M",99.99,85.15,32.48
111,"FIN","Advanced Economies","Finland",1985,"M",99.99,80.75,34.20
111,"FIN","Advanced Economies","Finland",1990,"M",99.96,92.04,45.93
111,"FIN","Advanced Economies","Finland",1995,"M",99.99,92.04,65.12
111,"FIN","Advanced Economies","Finland",2000,"M",99.99,99.99,74.35
111,"FIN","Advanced Economies","Finland",2005,"M",99.96,99.99,84.36
111,"FIN","Advanced Economies","Finland",2010,"M",99.00,99.99,88.28
112,"FRA","Advanced Economies","France",1820,"M",21.17,0.01,0.01
112,"FRA","Advanced Economies","France",1825,"M",21.75,0.01,0.06
112,"FRA","Advanced Economies","France",1830,"M",22.28,0.01,0.12
112,"FRA","Advanced Economies","France",1835,"M",22.77,0.01,0.18
112,"FRA","Advanced Economies","France",1840,"M",23.20,0.01,0.24
112,"FRA","Advanced Economies","France",1845,"M",23.58,0.01,0.29
112,"FRA","Advanced Economies","France",1850,"M",23.90,0.01,0.35
112,"FRA","Advanced Economies","France",1855,"M",24.16,0.01,0.42
112,"FRA","Advanced Economies","France",1860,"M",24.43,0.01,0.45
112,"FRA","Advanced Economies","France",1865,"M",29.90,0.02,0.50
112,"FRA","Advanced Economies","France",1870,"M",99.99,0.03,0.60
112,"FRA","Advanced Economies","France",1875,"M",99.99,0.04,0.63
112,"FRA","Advanced Economies","France",1880,"M",99.99,0.06,0.67
112,"FRA","Advanced Economies","France",1885,"M",99.99,0.09,0.70
112,"FRA","Advanced Economies","France",1890,"M",99.99,0.13,1.06
112,"FRA","Advanced Economies","France",1895,"M",99.99,0.20,1.45
112,"FRA","Advanced Economies","France",1900,"M",99.99,0.31,1.61
112,"FRA","Advanced Economies","France",1905,"M",99.99,0.47,1.82
112,"FRA","Advanced Economies","France",1910,"M",99.99,0.71,2.22
112,"FRA","Advanced Economies","France",1915,"M",99.99,1.07,0.50
112,"FRA","Advanced Economies","France",1920,"M",99.99,1.61,2.10
112,"FRA","Advanced Economies","France",1925,"M",99.99,2.42,2.02
112,"FRA","Advanced Economies","France",1930,"M",99.99,3.62,2.78
112,"FRA","Advanced Economies","France",1935,"M",99.99,5.38,3.05
112,"FRA","Advanced Economies","France",1940,"M",99.99,7.94,2.51
112,"FRA","Advanced Economies","France",1945,"M",99.99,11.57,4.34
112,"FRA","Advanced Economies","France",1950,"M",99.99,16.56,6.23
112,"FRA","Advanced Economies","France",1955,"M",99.99,20.39,4.03
112,"FRA","Advanced Economies","France",1960,"M",97.00,41.08,8.75
112,"FRA","Advanced Economies","France",1965,"M",98.00,47.13,16.09
112,"FRA","Advanced Economies","France",1970,"M",98.00,64.10,24.01
112,"FRA","Advanced Economies","France",1975,"M",99.99,74.33,25.17
112,"FRA","Advanced Economies","France",1980,"M",99.99,76.20,24.22
112,"FRA","Advanced Economies","France",1985,"M",98.00,81.11,29.31
112,"FRA","Advanced Economies","France",1990,"M",99.99,79.12,36.47
112,"FRA","Advanced Economies","France",1995,"M",99.99,98.79,44.95
112,"FRA","Advanced Economies","France",2000,"M",99.50,95.78,51.14
112,"FRA","Advanced Economies","France",2005,"M",99.99,99.99,48.09
112,"FRA","Advanced Economies","France",2010,"M",99.99,99.99,50.12
190,"DEU","Advanced Economies","Germany",1820,"M",21.67,0.06,0.42
190,"DEU","Advanced Economies","Germany",1825,"M",23.77,0.25,0.46
190,"DEU","Advanced Economies","Germany",1830,"M",26.01,0.05,0.50
190,"DEU","Advanced Economies","Germany",1835,"M",28.37,0.05,0.42
190,"DEU","Advanced Economies","Germany",1840,"M",30.86,0.05,0.34
190,"DEU","Advanced Economies","Germany",1845,"M",33.46,0.05,0.32
190,"DEU","Advanced Economies","Germany",1850,"M",36.17,0.05,0.31
190,"DEU","Advanced Economies","Germany",1855,"M",38.98,0.05,0.31
190,"DEU","Advanced Economies","Germany",1860,"M",41.86,0.05,0.34
190,"DEU","Advanced Economies","Germany",1865,"M",44.81,0.05,0.37
190,"DEU","Advanced Economies","Germany",1870,"M",48.18,8.79,0.88
190,"DEU","Advanced Economies","Germany",1875,"M",51.56,9.09,0.99
190,"DEU","Advanced Economies","Germany",1880,"M",52.81,7.75,1.03
190,"DEU","Advanced Economies","Germany",1885,"M",58.44,7.78,1.22
190,"DEU","Advanced Economies","Germany",1890,"M",57.60,6.27,1.19
190,"DEU","Advanced Economies","Germany",1895,"M",56.76,6.42,1.35
190,"DEU","Advanced Economies","Germany",1900,"M",55.19,5.30,1.40
190,"DEU","Advanced Economies","Germany",1905,"M",57.33,6.34,1.62
190,"DEU","Advanced Economies","Germany",1910,"M",85.87,6.20,1.81
190,"DEU","Advanced Economies","Germany",1915,"M",94.28,5.97,1.56
190,"DEU","Advanced Economies","Germany",1920,"M",99.99,13.25,3.08
190,"DEU","Advanced Economies","Germany",1925,"M",65.95,10.77,2.25
190,"DEU","Advanced Economies","Germany",1930,"M",76.35,11.14,2.96
190,"DEU","Advanced Economies","Germany",1935,"M",78.14,11.24,1.65
190,"DEU","Advanced Economies","Germany",1940,"M",78.22,13.63,1.05
190,"DEU","Advanced Economies","Germany",1945,"M",87.64,35.94,2.50
190,"DEU","Advanced Economies","Germany",1950,"M",97.05,56.44,3.07
190,"DEU","Advanced Economies","Germany",1955,"M",76.55,82.25,3.89
190,"DEU","Advanced Economies","Germany",1960,"M",99.99,62.30,9.25
190,"DEU","Advanced Economies","Germany",1965,"M",66.50,43.97,13.01
190,"DEU","Advanced Economies","Germany",1970,"M",81.87,41.23,19.07
190,"DEU","Advanced Economies","Germany",1975,"M",84.20,48.15,29.97
190,"DEU","Advanced Economies","Germany",1980,"M",81.05,99.76,29.98
190,"DEU","Advanced Economies","Germany",1985,"M",80.04,68.10,33.97
190,"DEU","Advanced Economies","Germany",1990,"M",88.05,85.00,39.66
190,"DEU","Advanced Economies","Germany",1995,"M",99.99,99.99,47.30
190,"DEU","Advanced Economies","Germany",2000,"M",99.99,92.56,49.94
190,"DEU","Advanced Economies","Germany",2005,"M",99.99,95.61,52.51
190,"DEU","Advanced Economies","Germany",2010,"M",99.99,99.38,55.08
114,"GRC","Advanced Economies","Greece",1820,"M",99.99,99.99,99.99
114,"GRC","Advanced Economies","Greece",1825,"M",99.99,99.99,99.99
114,"GRC","Advanced Economies","Greece",1830,"M",18.15,0.40,0.80
114,"GRC","Advanced Economies","Greece",1835,"M",21.08,0.51,0.95
114,"GRC","Advanced Economies","Greece",1840,"M",24.38,0.66,1.14
114,"GRC","Advanced Economies","Greece",1845,"M",28.09,0.85,1.37
114,"GRC","Advanced Economies","Greece",1850,"M",32.21,1.10,1.64
114,"GRC","Advanced Economies","Greece",1855,"M",36.74,1.42,1.97
114,"GRC","Advanced Economies","Greece",1860,"M",41.66,1.82,2.36
114,"GRC","Advanced Economies","Greece",1865,"M",43.21,1.46,2.82
114,"GRC","Advanced Economies","Greece",1870,"M",50.64,1.38,2.68
114,"GRC","Advanced Economies","Greece",1875,"M",56.37,1.93,2.49
114,"GRC","Advanced Economies","Greece",1880,"M",61.89,1.80,2.33
114,"GRC","Advanced Economies","Greece",1885,"M",57.14,1.95,1.89
114,"GRC","Advanced Economies","Greece",1890,"M",66.05,2.33,1.82
114,"GRC","Advanced Economies","Greece",1895,"M",67.34,2.96,1.66
114,"GRC","Advanced Economies","Greece",1900,"M",71.69,3.18,1.59
114,"GRC","Advanced Economies","Greece",1905,"M",64.96,6.23,1.53
114,"GRC","Advanced Economies","Greece",1910,"M",65.63,11.24,0.37
114,"GRC","Advanced Economies","Greece",1915,"M",16.42,7.06,0.25
114,"GRC","Advanced Economies","Greece",1920,"M",42.64,15.22,0.38
114,"GRC","Advanced Economies","Greece",1925,"M",80.18,13.61,0.57
114,"GRC","Advanced Economies","Greece",1930,"M",93.29,12.78,1.52
114,"GRC","Advanced Economies","Greece",1935,"M",93.02,7.55,1.81
114,"GRC","Advanced Economies","Greece",1940,"M",87.61,5.96,1.49
114,"GRC","Advanced Economies","Greece",1945,"M",82.15,20.40,0.66
114,"GRC","Advanced Economies","Greece",1950,"M",76.68,23.85,0.73
114,"GRC","Advanced Economies","Greece",1955,"M",80.72,27.36,1.63
114,"GRC","Advanced Economies","Greece",1960,"M",86.71,41.21,5.96
114,"GRC","Advanced Economies","Greece",1965,"M",99.00,50.78,13.47
114,"GRC","Advanced Economies","Greece",1970,"M",97.00,55.78,18.09
114,"GRC","Advanced Economies","Greece",1975,"M",97.00,68.69,22.25
114,"GRC","Advanced Economies","Greece",1980,"M",95.06,68.99,20.09
114,"GRC","Advanced Economies","Greece",1985,"M",97.67,78.07,23.63
114,"GRC","Advanced Economies","Greece",1990,"M",92.05,86.04,24.21
114,"GRC","Advanced Economies","Greece",1995,"M",94.00,92.16,42.69
114,"GRC","Advanced Economies","Greece",2000,"M",96.00,81.31,49.16
114,"GRC","Advanced Economies","Greece",2005,"M",99.99,97.17,83.55
114,"GRC","Advanced Economies","Greece",2010,"M",99.99,99.99,85.32
117,"IRL","Advanced Economies","Ireland",1820,"M",7.75,0.01,0.01
117,"IRL","Advanced Economies","Ireland",1825,"M",9.13,0.01,0.01
117,"IRL","Advanced Economies","Ireland",1830,"M",10.70,0.01,0.01
117,"IRL","Advanced Economies","Ireland",1835,"M",12.49,0.01,0.01
117,"IRL","Advanced Economies","Ireland",1840,"M",14.52,0.01,0.01
117,"IRL","Advanced Economies","Ireland",1845,"M",16.78,0.01,0.01
117,"IRL","Advanced Economies","Ireland",1850,"M",19.30,0.01,0.01
117,"IRL","Advanced Economies","Ireland",1855,"M",19.60,0.02,0.01
117,"IRL","Advanced Economies","Ireland",1860,"M",22.37,0.03,0.02
117,"IRL","Advanced Economies","Ireland",1865,"M",29.51,0.04,0.02
117,"IRL","Advanced Economies","Ireland",1870,"M",31.28,0.06,0.03
117,"IRL","Advanced Economies","Ireland",1875,"M",33.49,0.09,0.04
117,"IRL","Advanced Economies","Ireland",1880,"M",44.24,0.13,0.05
117,"IRL","Advanced Economies","Ireland",1885,"M",54.89,0.19,0.07
117,"IRL","Advanced Economies","Ireland",1890,"M",58.03,0.29,0.10
117,"IRL","Advanced Economies","Ireland",1895,"M",68.86,0.43,0.14
117,"IRL","Advanced Economies","Ireland",1900,"M",62.06,0.64,0.18
117,"IRL","Advanced Economies","Ireland",1905,"M",66.54,0.95,0.25
117,"IRL","Advanced Economies","Ireland",1910,"M",63.05,1.41,0.33
117,"IRL","Advanced Economies","Ireland",1915,"M",64.40,2.19,0.45
117,"IRL","Advanced Economies","Ireland",1920,"M",54.17,2.56,0.61
117,"IRL","Advanced Economies","Ireland",1925,"M",77.76,3.74,0.72
117,"IRL","Advanced Economies","Ireland",1930,"M",90.46,3.16,1.37
117,"IRL","Advanced Economies","Ireland",1935,"M",86.23,5.42,0.55
117,"IRL","Advanced Economies","Ireland",1940,"M",72.85,6.36,1.93
