BLcode,WBcode,region_code,country,year,sex,priad,secad,ter
107,"AUT","Advanced Economies","Austria",1885,"F",64.16,0.05,0.03
107,"AUT","Advanced Economies","Austria",1890,"F",45.44,0.07,0.04
107,"AUT","Advanced Economies","Austria",1895,"F",71.36,0.10,0.05
107,"AUT","Advanced Economies","Austria",1900,"F",80.85,0.15,0.06
107,"AUT","Advanced Economies","Austria",1905,"F",79.75,0.21,0.08
107,"AUT","Advanced Economies","Austria",1910,"F",79.06,0.31,0.10
107,"AUT","Advanced Economies","Austria",1915,"F",81.68,0.46,0.14
107,"AUT","Advanced Economies","Austria",1920,"F",84.30,0.67,0.96
107,"AUT","Advanced Economies","Austria",1925,"F",86.91,0.97,1.30
107,"AUT","Advanced Economies","Austria",1930,"F",89.53,1.41,1.76
107,"AUT","Advanced Economies","Austria",1935,"F",92.15,2.05,1.73
107,"AUT","Advanced Economies","Austria",1940,"F",94.77,2.97,1.16
107,"AUT","Advanced Economies","Austria",1945,"F",97.38,4.27,3.83
107,"AUT","Advanced Economies","Austria",1950,"F",100.00,6.12,0.93
107,"AUT","Advanced Economies","Austria",1955,"F",100.00,15.19,0.76
107,"AUT","Advanced Economies","Austria",1960,"F",91.49,45.00,3.80
107,"AUT","Advanced Economies","Austria",1965,"F",91.49,47.76,4.44
107,"AUT","Advanced Economies","Austria",1970,"F",89.74,67.04,7.00
107,"AUT","Advanced Economies","Austria",1975,"F",88.00,68.88,14.40
107,"AUT","Advanced Economies","Austria",1980,"F",88.00,69.80,20.30
107,"AUT","Advanced Economies","Austria",1985,"F",86.00,74.39,24.30
107,"AUT","Advanced Economies","Austria",1990,"F",91.00,90.00,32.80
107,"AUT","Advanced Economies","Austria",1995,"F",97.97,95.95,46.80
107,"AUT","Advanced Economies","Austria",2000,"F",100.00,93.65,59.00
107,"AUT","Advanced Economies","Austria",2005,"F",98.93,97.55,51.00
107,"AUT","Advanced Economies","Austria",2010,"F",97.86,96.74,74.00
108,"BEL","Advanced Economies","Belgium",1820,"F",6.26,0.00,0.00
108,"BEL","Advanced Economies","Belgium",1825,"F",7.14,0.00,0.00
108,"BEL","Advanced Economies","Belgium",1830,"F",8.15,0.00,0.00
108,"BEL","Advanced Economies","Belgium",1835,"F",9.28,0.00,0.00
108,"BEL","Advanced Economies","Belgium",1840,"F",10.55,0.00,0.00
108,"BEL","Advanced Economies","Belgium",1845,"F",11.98,0.01,0.00
108,"BEL","Advanced Economies","Belgium",1850,"F",13.56,0.01,0.00
108,"BEL","Advanced Economies","Belgium",1855,"F",15.32,0.01,0.00
108,"BEL","Advanced Economies","Belgium",1860,"F",17.27,0.02,0.00
108,"BEL","Advanced Economies","Belgium",1865,"F",19.40,0.02,0.00
108,"BEL","Advanced Economies","Belgium",1870,"F",21.73,0.03,0.00
108,"BEL","Advanced Economies","Belgium",1875,"F",24.26,0.05,0.00
108,"BEL","Advanced Economies","Belgium",1880,"F",26.98,0.07,0.00
108,"BEL","Advanced Economies","Belgium",1885,"F",29.88,0.11,0.00
108,"BEL","Advanced Economies","Belgium",1890,"F",55.21,0.16,0.01
108,"BEL","Advanced Economies","Belgium",1895,"F",61.75,0.23,0.01
108,"BEL","Advanced Economies","Belgium",1900,"F",74.10,0.33,0.02
108,"BEL","Advanced Economies","Belgium",1905,"F",73.63,0.48,0.02
108,"BEL","Advanced Economies","Belgium",1910,"F",77.68,0.70,0.04
108,"BEL","Advanced Economies","Belgium",1915,"F",79.39,1.03,0.05
108,"BEL","Advanced Economies","Belgium",1920,"F",81.11,1.49,0.08
108,"BEL","Advanced Economies","Belgium",1925,"F",82.82,2.16,0.12
108,"BEL","Advanced Economies","Belgium",1930,"F",84.53,3.13,0.18
108,"BEL","Advanced Economies","Belgium",1935,"F",86.25,4.50,0.25
108,"BEL","Advanced Economies","Belgium",1940,"F",87.96,6.45,0.35
108,"BEL","Advanced Economies","Belgium",1945,"F",89.67,9.14,0.72
108,"BEL","Advanced Economies","Belgium",1950,"F",91.39,22.15,0.55
108,"BEL","Advanced Economies","Belgium",1955,"F",87.25,31.33,2.70
108,"BEL","Advanced Economies","Belgium",1960,"F",100.00,62.00,4.84
108,"BEL","Advanced Economies","Belgium",1965,"F",100.00,66.00,9.97
108,"BEL","Advanced Economies","Belgium",1970,"F",97.83,72.65,13.00
108,"BEL","Advanced Economies","Belgium",1975,"F",97.46,75.38,18.10
108,"BEL","Advanced Economies","Belgium",1980,"F",98.00,80.83,23.20
108,"BEL","Advanced Economies","Belgium",1985,"F",95.00,89.00,30.00
108,"BEL","Advanced Economies","Belgium",1990,"F",97.00,88.00,39.60
108,"BEL","Advanced Economies","Belgium",1995,"F",85.68,86.07,54.80
108,"BEL","Advanced Economies","Belgium",2000,"F",97.07,100.00,61.00
108,"BEL","Advanced Economies","Belgium",2005,"F",97.98,100.00,68.00
108,"BEL","Advanced Economies","Belgium",2010,"F",100.00,98.42,75.00
50,"CAN","Advanced Economies","Canada",1820,"F",36.41,0.03,0.00
50,"CAN","Advanced Economies","Canada",1825,"F",39.76,0.05,0.00
50,"CAN","Advanced Economies","Canada",1830,"F",43.21,0.06,0.00
50,"CAN","Advanced Economies","Canada",1835,"F",46.74,0.08,0.00
50,"CAN","Advanced Economies","Canada",1840,"F",50.30,0.11,0.00
50,"CAN","Advanced Economies","Canada",1845,"F",53.86,0.15,0.00
50,"CAN","Advanced Economies","Canada",1850,"F",57.39,0.20,0.00
50,"CAN","Advanced Economies","Canada",1855,"F",60.85,0.27,0.00
50,"CAN","Advanced Economies","Canada",1860,"F",64.21,0.36,0.00
50,"CAN","Advanced Economies","Canada",1865,"F",67.45,0.48,0.00
50,"CAN","Advanced Economies","Canada",1870,"F",70.54,0.65,0.00
50,"CAN","Advanced Economies","Canada",1875,"F",73.46,0.87,0.00
50,"CAN","Advanced Economies","Canada",1880,"F",76.20,1.16,0.00
50,"CAN","Advanced Economies","Canada",1885,"F",78.74,1.55,0.24
50,"CAN","Advanced Economies","Canada",1890,"F",62.30,2.07,0.34
50,"CAN","Advanced Economies","Canada",1895,"F",45.85,2.75,0.48
50,"CAN","Advanced Economies","Canada",1900,"F",42.05,3.66,0.68
50,"CAN","Advanced Economies","Canada",1905,"F",47.30,4.85,0.97
50,"CAN","Advanced Economies","Canada",1910,"F",67.09,6.39,1.37
50,"CAN","Advanced Economies","Canada",1915,"F",67.51,5.22,1.94
50,"CAN","Advanced Economies","Canada",1920,"F",70.87,4.05,2.74
50,"CAN","Advanced Economies","Canada",1925,"F",74.22,11.65,3.86
50,"CAN","Advanced Economies","Canada",1930,"F",77.58,19.25,5.42
50,"CAN","Advanced Economies","Canada",1935,"F",80.93,20.74,5.03
50,"CAN","Advanced Economies","Canada",1940,"F",84.29,22.10,4.96
50,"CAN","Advanced Economies","Canada",1945,"F",87.65,24.74,7.88
50,"CAN","Advanced Economies","Canada",1950,"F",91.00,21.41,2.38
50,"CAN","Advanced Economies","Canada",1955,"F",94.36,28.52,2.51
50,"CAN","Advanced Economies","Canada",1960,"F",72.00,39.30,12.30
50,"CAN","Advanced Economies","Canada",1965,"F",69.00,45.55,20.10
50,"CAN","Advanced Economies","Canada",1970,"F",93.00,58.06,27.90
50,"CAN","Advanced Economies","Canada",1975,"F",92.16,82.17,35.30
50,"CAN","Advanced Economies","Canada",1980,"F",93.18,80.39,38.50
50,"CAN","Advanced Economies","Canada",1985,"F",97.00,92.00,77.70
50,"CAN","Advanced Economies","Canada",1990,"F",98.00,93.00,100.00
50,"CAN","Advanced Economies","Canada",1995,"F",93.38,93.89,98.30
50,"CAN","Advanced Economies","Canada",2000,"F",100.00,95.60,68.00
50,"CAN","Advanced Economies","Canada",2005,"F",100.00,96.92,62.26
50,"CAN","Advanced Economies","Canada",2010,"F",100.00,97.93,70.29
110,"DNK","Advanced Economies","Denmark",1820,"F",65.37,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1825,"F",67.04,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1830,"F",68.66,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1835,"F",70.25,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1840,"F",71.79,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1845,"F",73.28,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1850,"F",74.73,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1855,"F",76.12,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1860,"F",77.47,0.00,0.00
110,"DNK","Advanced Economies","Denmark",1865,"F",78.76,0.01,0.00
110,"DNK","Advanced Economies","Denmark",1870,"F",80.00,0.01,0.00
110,"DNK","Advanced Economies","Denmark",1875,"F",81.25,0.01,0.00
110,"DNK","Advanced Economies","Denmark",1880,"F",82.50,0.02,0.01
110,"DNK","Advanced Economies","Denmark",1885,"F",83.75,0.03,0.01
110,"DNK","Advanced Economies","Denmark",1890,"F",85.00,0.05,0.02
110,"DNK","Advanced Economies","Denmark",1895,"F",86.25,0.08,0.02
110,"DNK","Advanced Economies","Denmark",1900,"F",87.50,0.12,0.04
110,"DNK","Advanced Economies","Denmark",1905,"F",88.75,0.19,0.05
110,"DNK","Advanced Economies","Denmark",1910,"F",90.00,0.30,0.08
110,"DNK","Advanced Economies","Denmark",1915,"F",91.25,0.46,0.12
110,"DNK","Advanced Economies","Denmark",1920,"F",92.50,0.72,0.18
110,"DNK","Advanced Economies","Denmark",1925,"F",93.75,1.12,0.26
110,"DNK","Advanced Economies","Denmark",1930,"F",95.00,1.73,0.39
110,"DNK","Advanced Economies","Denmark",1935,"F",96.25,2.22,0.58
110,"DNK","Advanced Economies","Denmark",1940,"F",97.50,3.08,0.87
110,"DNK","Advanced Economies","Denmark",1945,"F",98.75,13.63,1.29
110,"DNK","Advanced Economies","Denmark",1950,"F",100.00,23.43,1.64
110,"DNK","Advanced Economies","Denmark",1955,"F",100.00,23.68,1.86
110,"DNK","Advanced Economies","Denmark",1960,"F",100.00,35.20,6.60
110,"DNK","Advanced Economies","Denmark",1965,"F",100.00,44.00,9.90
110,"DNK","Advanced Economies","Denmark",1970,"F",97.00,54.40,13.80
110,"DNK","Advanced Economies","Denmark",1975,"F",100.00,62.40,26.70
110,"DNK","Advanced Economies","Denmark",1980,"F",95.00,83.20,28.60
110,"DNK","Advanced Economies","Denmark",1985,"F",98.00,84.00,29.50
110,"DNK","Advanced Economies","Denmark",1990,"F",96.00,88.00,39.00
110,"DNK","Advanced Economies","Denmark",1995,"F",99.00,97.60,51.10
110,"DNK","Advanced Economies","Denmark",2000,"F",100.00,100.00,66.00
110,"DNK","Advanced Economies","Denmark",2005,"F",99.00,100.00,93.00
110,"DNK","Advanced Economies","Denmark",2010,"F",100.00,100.00,87.00
111,"FIN","Advanced Economies","Finland",1820,"F",1.19,0.00,0.00
111,"FIN","Advanced Economies","Finland",1825,"F",1.46,0.00,0.00
111,"FIN","Advanced Economies","Finland",1830,"F",1.79,0.00,0.00
111,"FIN","Advanced Economies","Finland",1835,"F",2.19,0.00,0.00
111,"FIN","Advanced Economies","Finland",1840,"F",2.68,0.00,0.00
111,"FIN","Advanced Economies","Finland",1845,"F",3.34,0.00,0.00
111,"FIN","Advanced Economies","Finland",1850,"F",4.07,0.00,0.00
111,"FIN","Advanced Economies","Finland",1855,"F",4.94,0.01,0.00
111,"FIN","Advanced Economies","Finland",1860,"F",6.00,0.01,0.00
111,"FIN","Advanced Economies","Finland",1865,"F",7.26,0.01,0.00
111,"FIN","Advanced Economies","Finland",1870,"F",8.77,0.02,0.00
111,"FIN","Advanced Economies","Finland",1875,"F",10.55,0.03,0.00
111,"FIN","Advanced Economies","Finland",1880,"F",17.65,0.05,0.01
111,"FIN","Advanced Economies","Finland",1885,"F",24.75,0.07,0.01
111,"FIN","Advanced Economies","Finland",1890,"F",21.07,0.11,0.02
111,"FIN","Advanced Economies","Finland",1895,"F",29.50,0.17,0.02
111,"FIN","Advanced Economies","Finland",1900,"F",37.94,0.26,0.04
111,"FIN","Advanced Economies","Finland",1905,"F",46.37,0.39,0.06
111,"FIN","Advanced Economies","Finland",1910,"F",50.70,0.60,0.10
111,"FIN","Advanced Economies","Finland",1915,"F",56.86,0.92,0.16
111,"FIN","Advanced Economies","Finland",1920,"F",63.02,1.40,0.25
111,"FIN","Advanced Economies","Finland",1925,"F",69.19,1.97,0.40
111,"FIN","Advanced Economies","Finland",1930,"F",75.35,3.68,0.64
111,"FIN","Advanced Economies","Finland",1935,"F",81.51,5.48,0.72
111,"FIN","Advanced Economies","Finland",1940,"F",87.67,8.09,0.71
111,"FIN","Advanced Economies","Finland",1945,"F",93.84,11.79,1.34
111,"FIN","Advanced Economies","Finland",1950,"F",100.00,16.87,1.40
111,"FIN","Advanced Economies","Finland",1955,"F",100.00,22.43,1.86
111,"FIN","Advanced Economies","Finland",1960,"F",95.00,58.47,6.98
111,"FIN","Advanced Economies","Finland",1965,"F",100.00,58.47,11.20
111,"FIN","Advanced Economies","Finland",1970,"F",79.00,78.46,13.30
111,"FIN","Advanced Economies","Finland",1975,"F",88.00,63.65,18.70
111,"FIN","Advanced Economies","Finland",1980,"F",83.00,70.31,31.70
111,"FIN","Advanced Economies","Finland",1985,"F",100.00,81.42,34.00
111,"FIN","Advanced Economies","Finland",1990,"F",98.00,94.00,52.00
111,"FIN","Advanced Economies","Finland",1995,"F",100.00,94.00,75.70
111,"FIN","Advanced Economies","Finland",2000,"F",100.00,100.00,90.00
111,"FIN","Advanced Economies","Finland",2005,"F",98.00,100.00,100.00
111,"FIN","Advanced Economies","Finland",2010,"F",99.00,100.00,100.00
112,"FRA","Advanced Economies","France",1820,"F",11.89,0.00,0.00
112,"FRA","Advanced Economies","France",1825,"F",13.29,0.00,0.00
112,"FRA","Advanced Economies","France",1830,"F",14.84,0.00,0.00
112,"FRA","Advanced Economies","France",1835,"F",16.53,0.00,0.00
112,"FRA","Advanced Economies","France",1840,"F",18.36,0.00,0.00
112,"FRA","Advanced Economies","France",1845,"F",20.36,0.00,0.00
112,"FRA","Advanced Economies","France",1850,"F",22.51,0.00,0.01
112,"FRA","Advanced Economies","France",1855,"F",24.82,0.01,0.01
112,"FRA","Advanced Economies","France",1860,"F",27.28,0.01,0.01
112,"FRA","Advanced Economies","France",1865,"F",29.90,0.02,0.01
112,"FRA","Advanced Economies","France",1870,"F",64.95,0.02,0.02
112,"FRA","Advanced Economies","France",1875,"F",100.00,0.04,0.02
112,"FRA","Advanced Economies","France",1880,"F",100.00,0.06,0.03
112,"FRA","Advanced Economies","France",1885,"F",100.00,0.08,0.04
112,"FRA","Advanced Economies","France",1890,"F",100.00,0.13,0.05
112,"FRA","Advanced Economies","France",1895,"F",100.00,0.19,0.07
112,"FRA","Advanced Economies","France",1900,"F",100.00,0.29,0.09
112,"FRA","Advanced Economies","France",1905,"F",100.00,0.45,0.11
112,"FRA","Advanced Economies","France",1910,"F",100.00,0.68,0.15
112,"FRA","Advanced Economies","France",1915,"F",100.00,1.03,0.19
112,"FRA","Advanced Economies","France",1920,"F",100.00,1.55,0.81
112,"FRA","Advanced Economies","France",1925,"F",100.00,2.34,1.09
112,"FRA","Advanced Economies","France",1930,"F",100.00,3.52,1.46
112,"FRA","Advanced Economies","France",1935,"F",100.00,5.26,1.66
112,"FRA","Advanced Economies","France",1940,"F",100.00,7.78,2.01
112,"FRA","Advanced Economies","France",1945,"F",100.00,11.38,3.22
112,"FRA","Advanced Economies","France",1950,"F",100.00,16.34,1.50
112,"FRA","Advanced Economies","France",1955,"F",100.00,20.78,2.34
112,"FRA","Advanced Economies","France",1960,"F",97.00,45.00,6.19
112,"FRA","Advanced Economies","France",1965,"F",98.00,53.00,12.20
112,"FRA","Advanced Economies","France",1970,"F",98.00,70.00,14.80
112,"FRA","Advanced Economies","France",1975,"F",94.75,77.74,23.80
112,"FRA","Advanced Economies","France",1980,"F",100.00,81.88,26.80
112,"FRA","Advanced Economies","France",1985,"F",98.00,87.00,30.30
112,"FRA","Advanced Economies","France",1990,"F",100.00,85.00,42.80
112,"FRA","Advanced Economies","France",1995,"F",99.75,98.79,57.20
112,"FRA","Advanced Economies","France",2000,"F",99.84,97.37,63.00
112,"FRA","Advanced Economies","France",2005,"F",100.00,100.00,60.00
112,"FRA","Advanced Economies","France",2010,"F",100.00,100.00,62.00
190,"DEU","Advanced Economies","Germany",1820,"F",20.71,0.74,0.00
190,"DEU","Advanced Economies","Germany",1825,"F",23.09,0.92,0.00
190,"DEU","Advanced Economies","Germany",1830,"F",25.66,1.13,0.00
190,"DEU","Advanced Economies","Germany",1835,"F",28.41,1.40,0.00
190,"DEU","Advanced Economies","Germany",1840,"F",31.34,1.72,0.00
190,"DEU","Advanced Economies","Germany",1845,"F",34.42,2.11,0.00
190,"DEU","Advanced Economies","Germany",1850,"F",37.65,2.72,0.00
190,"DEU","Advanced Economies","Germany",1855,"F",40.99,3.33,0.00
190,"DEU","Advanced Economies","Germany",1860,"F",44.41,3.93,0.00
190,"DEU","Advanced Economies","Germany",1865,"F",47.90,4.54,0.00
190,"DEU","Advanced Economies","Germany",1870,"F",51.03,5.15,0.00
190,"DEU","Advanced Economies","Germany",1875,"F",54.16,5.75,0.00
190,"DEU","Advanced Economies","Germany",1880,"F",54.96,6.36,0.00
190,"DEU","Advanced Economies","Germany",1885,"F",60.02,6.96,0.00
190,"DEU","Advanced Economies","Germany",1890,"F",59.12,7.57,0.01
190,"DEU","Advanced Economies","Germany",1895,"F",58.22,8.18,0.01
190,"DEU","Advanced Economies","Germany",1900,"F",56.93,8.78,0.01
190,"DEU","Advanced Economies","Germany",1905,"F",59.14,9.39,0.02
190,"DEU","Advanced Economies","Germany",1910,"F",88.76,10.00,0.03
190,"DEU","Advanced Economies","Germany",1915,"F",90.09,10.60,0.05
190,"DEU","Advanced Economies","Germany",1920,"F",91.42,11.21,0.07
190,"DEU","Advanced Economies","Germany",1925,"F",92.76,11.82,0.10
190,"DEU","Advanced Economies","Germany",1930,"F",94.09,12.42,0.14
190,"DEU","Advanced Economies","Germany",1935,"F",95.42,13.03,0.21
190,"DEU","Advanced Economies","Germany",1940,"F",96.76,13.63,0.31
190,"DEU","Advanced Economies","Germany",1945,"F",98.09,28.63,0.45
190,"DEU","Advanced Economies","Germany",1950,"F",99.42,43.62,0.65
190,"DEU","Advanced Economies","Germany",1955,"F",78.70,72.48,0.91
190,"DEU","Advanced Economies","Germany",1960,"F",100.00,40.35,2.85
190,"DEU","Advanced Economies","Germany",1965,"F",100.00,43.52,4.32
190,"DEU","Advanced Economies","Germany",1970,"F",83.84,28.48,7.40
190,"DEU","Advanced Economies","Germany",1975,"F",92.00,33.23,19.00
190,"DEU","Advanced Economies","Germany",1980,"F",83.00,38.77,22.30
190,"DEU","Advanced Economies","Germany",1985,"F",82.00,72.00,25.60
190,"DEU","Advanced Economies","Germany",1990,"F",90.00,85.00,27.80
190,"DEU","Advanced Economies","Germany",1995,"F",100.00,98.94,41.30
190,"DEU","Advanced Economies","Germany",2000,"F",100.00,93.61,47.20
190,"DEU","Advanced Economies","Germany",2005,"F",100.00,96.55,53.10
190,"DEU","Advanced Economies","Germany",2010,"F",100.00,100.00,59.00
114,"GRC","Advanced Economies","Greece",1820,"F",0.72,0.00,0.00
114,"GRC","Advanced Economies","Greece",1825,"F",0.90,0.00,0.00
114,"GRC","Advanced Economies","Greece",1830,"F",1.14,0.00,0.00
114,"GRC","Advanced Economies","Greece",1835,"F",1.43,0.00,0.00
114,"GRC","Advanced Economies","Greece",1840,"F",1.80,0.00,0.00
114,"GRC","Advanced Economies","Greece",1845,"F",2.26,0.00,0.00
114,"GRC","Advanced Economies","Greece",1850,"F",2.84,0.00,0.00
114,"GRC","Advanced Economies","Greece",1855,"F",3.56,0.00,0.00
114,"GRC","Advanced Economies","Greece",1860,"F",4.45,0.01,0.00
114,"GRC","Advanced Economies","Greece",1865,"F",5.56,0.01,0.00
114,"GRC","Advanced Economies","Greece",1870,"F",6.92,0.02,0.00
114,"GRC","Advanced Economies","Greece",1875,"F",7.58,0.02,0.00
114,"GRC","Advanced Economies","Greece",1880,"F",8.24,0.04,0.00
114,"GRC","Advanced Economies","Greece",1885,"F",8.91,0.06,0.00
114,"GRC","Advanced Economies","Greece",1890,"F",9.57,0.09,0.00
114,"GRC","Advanced Economies","Greece",1895,"F",13.31,0.14,0.01
114,"GRC","Advanced Economies","Greece",1900,"F",17.05,0.21,0.01
114,"GRC","Advanced Economies","Greece",1905,"F",29.51,0.32,0.01
114,"GRC","Advanced Economies","Greece",1910,"F",33.51,0.48,0.02
114,"GRC","Advanced Economies","Greece",1915,"F",41.47,0.74,0.03
114,"GRC","Advanced Economies","Greece",1920,"F",49.43,1.13,0.05
114,"GRC","Advanced Economies","Greece",1925,"F",57.39,1.71,0.08
114,"GRC","Advanced Economies","Greece",1930,"F",65.35,2.59,0.12
114,"GRC","Advanced Economies","Greece",1935,"F",73.31,3.91,0.20
114,"GRC","Advanced Economies","Greece",1940,"F",81.26,5.86,0.23
114,"GRC","Advanced Economies","Greece",1945,"F",89.22,8.69,0.66
114,"GRC","Advanced Economies","Greece",1950,"F",97.18,12.71,1.08
114,"GRC","Advanced Economies","Greece",1955,"F",78.73,14.40,1.50
114,"GRC","Advanced Economies","Greece",1960,"F",97.18,25.23,1.92
114,"GRC","Advanced Economies","Greece",1965,"F",99.00,37.00,6.23
114,"GRC","Advanced Economies","Greece",1970,"F",97.00,48.00,8.80
114,"GRC","Advanced Economies","Greece",1975,"F",97.00,59.00,14.20
114,"GRC","Advanced Economies","Greece",1980,"F",97.00,67.53,14.60
114,"GRC","Advanced Economies","Greece",1985,"F",100.00,80.00,24.80
114,"GRC","Advanced Economies","Greece",1990,"F",94.00,88.00,25.40
114,"GRC","Advanced Economies","Greece",1995,"F",94.00,92.16,42.30
114,"GRC","Advanced Economies","Greece",2000,"F",96.00,89.09,53.00
114,"GRC","Advanced Economies","Greece",2005,"F",100.00,99.74,97.00
114,"GRC","Advanced Economies","Greece",2010,"F",100.00,100.00,98.39
117,"IRL","Advanced Economies","Ireland",1820,"F",11.87,0.00,0.00
117,"IRL","Advanced Economies","Ireland",1825,"F",13.26,0.00,0.00
117,"IRL","Advanced Economies","Ireland",1830,"F",14.77,0.00,0.00
117,"IRL","Advanced Economies","Ireland",1835,"F",16.43,0.00,0.00
117,"IRL","Advanced Economies","Ireland",1840,"F",18.23,0.01,0.00
117,"IRL","Advanced Economies","Ireland",1845,"F",20.18,0.01,0.00
117,"IRL","Advanced Economies","Ireland",1850,"F",22.29,0.01,0.00
117,"IRL","Advanced Economies","Ireland",1855,"F",24.55,0.02,0.00
117,"IRL","Advanced Economies","Ireland",1860,"F",26.96,0.03,0.01
117,"IRL","Advanced Economies","Ireland",1865,"F",29.51,0.04,0.01
117,"IRL","Advanced Economies","Ireland",1870,"F",33.66,0.06,0.01
117,"IRL","Advanced Economies","Ireland",1875,"F",37.81,0.08,0.02
117,"IRL","Advanced Economies","Ireland",1880,"F",41.95,0.13,0.02
117,"IRL","Advanced Economies","Ireland",1885,"F",46.10,0.19,0.03
117,"IRL","Advanced Economies","Ireland",1890,"F",50.25,0.28,0.05
117,"IRL","Advanced Economies","Ireland",1895,"F",54.39,0.42,0.07
117,"IRL","Advanced Economies","Ireland",1900,"F",58.54,0.62,0.09
117,"IRL","Advanced Economies","Ireland",1905,"F",62.68,0.92,0.13
117,"IRL","Advanced Economies","Ireland",1910,"F",66.83,1.36,0.19
117,"IRL","Advanced Economies","Ireland",1915,"F",70.98,1.90,0.27
117,"IRL","Advanced Economies","Ireland",1920,"F",75.12,3.50,0.39
117,"IRL","Advanced Economies","Ireland",1925,"F",79.27,5.16,0.55
117,"IRL","Advanced Economies","Ireland",1930,"F",83.42,7.54,0.78
117,"IRL","Advanced Economies","Ireland",1935,"F",87.56,6.47,0.23
117,"IRL","Advanced Economies","Ireland",1940,"F",91.71,5.53,0.71
